"I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .","I am writing in order to express my disappointment with your musical show "" Over the Rainbow "" ."
"I asked on of the camera man when they 're going to show these show on tv , and he told me they 're going to show it on 10 of June , so turn on your tv on these date chanel three , and must seem me there playing with these guitar AH it was lovely .","I asked one of the cameramen when they 're going to show this show on tv , and he told me they 're going to show it on the 10 of June , so turn on your tv on this date , channel three , and you will see me there playing this guitar . AH , it was lovely ."
"These singers are going to come next year so I want to invite you to my house for one or two weeks to see these pop concert , beleave me you 'll love it and you might use the drums , I told them that you 're really good at drums so they want to try you too .","These singers are going to come next year so I want to invite you to my house for one or two weeks to see this pop concert . Believe me , you 'll love it and you might play the drums . I told them that you 're really good on drums so they want to try you too ."
I 'll write you soon Kim .,I 'll write to you soon Kim .
Tell hello to your parents !,Say hello to your parents !
I would like to thank you for your first prize in your competition two weeks at Camp California in the USA .,I would like to thank you for the first prize in your competition : two weeks at Camp California in the USA .
I would be grateful to except this prize .,I am pleased to accept this prize .
"First of all , I would like to travel in July , at present , I am doing an art course at college .","First of all , I would like to travel in July . At present , I am doing an art course at college ."
I have some pain on my back therefore I ca n't sleep in the sleeping bag on the ground .,I have some trouble with my back . Therefore I ca n't sleep in a sleeping bag on the ground .
"Furthermore , I would love to do Basketball and Painting activities while I am at the Camp .","Furthermore , I would love to do basketball and painting activities while I am at the camp ."
I am a member of college Basketball Team which became the best Basketball Team of last year .,"I am a member of the college basketball team , which became the best basketball team of last year ."
"Secondly , I want to do painting which I am really interested in and as a student of Art College .","Secondly , I want to do painting , which I am really interested in as a student at art college ."
"Lastly , I would like to learn that what kinds of clothes I have to bring with me and how much money ( American currency - dollars ) I 'll need to have while I 'm there .","Lastly , I would like to learn what kinds of clothes I have to bring with me and how much money ( American currency - dollars ) I 'll need to have while I 'm there ."
I would like to thank you for your letter which I received yesterday and I wanted to reply as soon as possible .,"I would like to thank you for your letter , which I received yesterday , and I wanted to reply as soon as possible ."
I know you want to learn what I did and how I helped people at the pop concert last month .,I know you want to hear about what I did and how I helped people at the pop concert last month .
"My friends and I have been taken to the backstage where we met the members of West Life , Elton John and Robie Williams .","My friends and I were taken backstage where we met the members of West Life , Elton John and Robie Williams ."
"I even go a bunch of flowers from them with a "" thank you "" letter .","I even got a bunch of flowers from them with a "" thank you "" letter ."
What we all did was making many cups of coffees and help to find their missing socks or any other clothings .,What we all did was make many cups of coffee and help to find their missing socks or any other clothing .
What I realised was they were not different from any of us but they were called celebreties .,What I realised was they were not different from any of us but they were called celebrities .
"I particularly liked listening their musicians when they played the piano , clarinet , drums , violen etc .","I particularly liked listening to their musicians when they played the piano , clarinet , drums , violin etc ."
Which was unbelievably great and also to be able to meet these famous singers made me realise we can achieve whatever we want .,"Which was really great , and also to be able to meet these famous singers made me realise we can achieve whatever we want ."
Firstly I was very disappointed in finding out that not - ever - heard actors were playing instead of the ones we all expected .,Firstly I was very disappointed to find out that unheard - of actors were playing instead of the ones we all expected .
"I 'm very sorry to let you know that not only was the show really boring , but it started also 45 late -","I 'm very sorry to let you know that not only was the show really boring , but it also started 45 minutes late -"
This should n't happen !,this should n't happen !
"In addition to this , I heard bad singers and noticed a numertable lack of variety in ballets .","In addition to this , I listened to bad singers and noticed a numertable lack of variety in the dancing ."
"I know this is not up to you , but it was very annoying .","I know this is not your fault , but it was very annoying ."
"This show might be the newest in London , but not the best at all .","This show might be the newest in London , but it is at all the best ."
I do eventually think it would be fair to give the spectators their money back - So ask you a complete refund ( cash ) of the ticket price .,Finally I do think it would be fair to give the audience their money back - so I am asking you for a complete refund ( cash ) of the ticket price .
"We all know that she is n't good in keeping her mouth shut at all , but it should have been better this time .","We all know that she is n't good at keeping her mouth shut at all , but it should have been better this time ."
Their parents were so happy that decided to give him a fantastic present : the brand new car he had always dreamed of .,Their parents were so happy that they decided to give him a fantastic present : the brand new car he had always dreamed of .
This should be a big surprise for him : the car was bought and everything was prepared in a very hush - hush atmosphere .,This should have been a big surprise for him : the car was bought and everything was prepared in a very hush - hush atmosphere .
"Pat promised not to speak to anyone about the car , but one evening Philip overhead her speaking about this with her boyfriend "" It will be delievered on Thursday !","Pat promised not to speak to anyone about the car , but one evening Philip overhead her speaking about this with her boyfriend : "" It will be delivered on Thursday !"
"Can you imagine Philip 's face when he 'll see his favourite car out there ? ""","Can you imagine Philip 's face when he sees his favourite car out there ? """
The car was already parked near the rear door and there was an unusual activity all over the house .,The car was already parked near the rear door and there was an unusual level of activity all over the house .
 Are you looking for these ?  asked Philip showing the keys of the car .," Are you looking for these ?  asked Philip , showing the keys to the car ."
And disappeared heading for the rear door .,"And disappeared , heading for the rear door ."
Dear Helen .,"Dear Helen ,"
I 've been thrilled eversince I received your letter indicating my luck of having won the first prize in the competition that you organized recently .,I 've been thrilled ever since I received your letter indicating my luck of having won the first prize in the competition that you organized recently .
"In response to the letter , I am sending mine to state the options and choice that I have made concerning the date of the trip , the place where I will be staying and the two activities that I have chosen along with some questions .","In response to the letter , I am sending mine to state the choices that I have made concerning the date of the trip , the place where I will be staying and the two activities that I have chosen , along with some questions ."
"Firstly , I wish to travel on July as I already have plans for June which is to visit France for 3 weeks as soon as my summer vacations commences .","Firstly , I wish to travel in July as I already have plans for June , which are to visit France for 3 weeks as soon as my summer vacation commences ."
"Secondly , to the question of lodging , I have chosen tents since I enjoy camping in them very much .","Secondly , regarding the question of lodging , I have chosen tents since I enjoy camping in them very much ."
"However , as this will be my first time to go surfing , I am willing to take classes for beginners .","However , as this will be my first time surfing , I am willing to take classes for beginners ."
"Lastly , I 've been struggling with the question of money and clothing and would lie to be informed about the climate there so that I will be able to pack the clothes that I need and I would be thankful if you would consider sending me an estimation of amount of money I will have spend in the camp .","Lastly , I 've been struggling with the question of money and clothing and would like to be informed about the climate there so that I will be able to pack the clothes that I need and I would be thankful if you would consider sending me an estimation of the amount of money I will have to spend in the camp ."
I am looking forward in being received in camp California .,I am looking forward to being received at camp California .
"I was glad to receive your letter from you and after having heard that you are interested in helping pop singers have a concert , I started writing as soon as I could .","I was glad to receive a letter from you and after having heard that you are interested in helping pop singers have a concert , I started writing as soon as I could ."
I thin it 's a wonderful idea and my advice is to take it if you have an offer !,I think it 's a wonderful idea and my advice is to take it if you have an offer !
I had so much fun helping my friends ' band having their concert .,I had so much fun helping my friends ' band putting on their concert .
"I 'm not sure of what part you 're interested in , but I think drawing the background for the stage was the best , and I suggest that you try doing it too .","I 'm not sure what part you 're interested in , but I think drawing the background for the stage was the best , and I suggest that you try doing it too ."
I am writing to draw your attention to the musical show that was place last evening .,I am writing to draw your attention to the musical show that took place yesterday evening .
"None of conditions was fulfilled : firstly , Danny Brook , who was going to perform in the show , was changed by another actor .","None of the conditions were fulfilled : firstly , Danny Brook , who was going to perform in the show , was changed for another actor ."
"Furthermore , the show started at 20:15 while the advertisment said that it was going to begin at 19:30 .","Furthermore , the show started at 20:15 while the advertisement said that it was going to begin at 19:30 ."
"On the other hand , it there was n't any discounts in the sell of the tickets .","Furthermore , there were n't any discounts on the price of the tickets ."
I am very surprised that such a reputable theatre like yours has been able to break all promises that appeared in the advertisment .,I am very surprised that such a reputable theatre like yours has been able to break all the promises that were made in the advertisement .
"Of course , what it was going to be a perfect evening out turned into a very disappointing evening , and I would very greatful if you refund me a compensation .","Of course , what was going to be a perfect evening out turned into a very disappointing evening , and I would be very grateful if you could refund me the price of my ticket ."
I imagine it will be very different .,I imagine they will be very different .
Sciencist will invented new materials that will keep the temperature in a suitable range .,Scientists will invent new materials that will keep the body 's temperature in a suitable range .
"In that way people wo n't feel cold or hot , they will be always at the same temperature .","In that way people wo n't feel cold or hot , they will always be at the same temperature ."
In addition these new material wo n't weight hardly anything .,In addition these new materials will weigh hardly anything .
"As well , people wo n't be as worried about fashion as nowaday , however it will be very important that clothes are comfortable and suitable for your work and daily duties as well as sport or everything you have to do .","As well as that , people wo n't be as worried about fashion as nowadays , however , it will be very important that clothes are comfortable and suitable for your work and daily duties as well as sport and everything you have to do ."
For that reason clothes will be simplier and more practise .,For that reason clothes will be simpler and more practical .
"Besides , everybody will be able to afford to buy then that 's why the prize of this sort of material will be very available .","Besides , everybody will be able to afford to buy them then . That 's because the price of this sort of material will be very affordable ."
"Of course , the resources used and manufacturing will be completely harmless for the enviroment because people will be more aware of the neccesity of taking care of the world we live in .","Of course , the resources used and the manufacturing will be completely harmless for the environment because people will be more aware of the necessity of taking care of the world we live in ."
"I write this letter because I find there were too many problems concerning your musical show : "" Over the rainbow "" .","I write this letter because I think there were too many problems concerning your musical show : "" Over the rainbow "" ."
"At first , I expected to find Danny Brook as the main actor , but she must have been changed since the actor was different .","First , I expected to find Danny Brook as the main actor , but she must have been replaced since the actor was different ."
I also want to put the stress on the fact that the show started at 8.15 pm instead of beginning at 7.30 pm .,I also want to put the emphasis on the fact that the show started at 8.15 pm instead of beginning at 7.30 pm .
It is a really a shame !,It was really a shame !
"In fact , if I had knowned , I would have probably stayed at home .","In fact , if I had known , I would have probably stayed at home ."
We can see on the advertisement that discounts are available .,We see on the advertisement that discounts are available .
"And , we were not allowed to visit your theatre restaurant in so far as it was closed .","And , we were not allowed to visit your theatre restaurant because it was closed ."
"Indeed , there was a little paper on the door which informed us that the restaurant was closed due to illness .","Indeed , there was a little note on the door which informed us that the restaurant was closed due to illness ."
"Consequently I ask you for some money back seeing that I think : it 's not worth the bother to loose money for such a show . ,","Consequently I ask you for some money back , seeing that I think : it 's not worth the bother to lose money for such a show . ,"
I think that modern technology change my daily life .,I think that modern technology changes my daily life .
"For example , if I want to buy something , I have to go on my computer and buy it .","For example , if I want to buy something , I can go on my computer and buy it ."
On the one hand technology is a good thing seeing that we 've got more and more possibilities to enjoy ourselves since she invents a lot of products .,On the one hand technology is a good thing seeing that we 've got more and more opportunities to enjoy ourselves since it invents a lot of products .
"But on the other hand , technology 's products are sometimes cheap and I ca n't afford it .","But on the other hand , technology 's products are sometimes expensive and I ca n't afford them ."
"In fact , I like technology but sometimes I wish it had n't existed since there are too many things on market .","In fact , I like technology but sometimes I wish it had never existed since there are too many things on the market ."
"Indeed , when you want to buy a television , for example , there are a lot of different marks .","Indeed , when you want to buy a television , for example , there are a lot of different makes ."
And it 's all the more tyring since you often wait during two weeks before buying it .,And it 's all the more tiring since you often wait for two weeks before getting it .
I 'm bound to feel nervous .,I 'm bound to feel tense .
"I 'm writing this letter to complain about some aspects of the musical show "" Over the rainbow "" that was held in your theatre .","I 'm writing this letter to complain about some aspects of the musical show "" Over the rainbow "" , which was played in your theatre ."
The first problem we had was that the discounts announced in the advertisement were not available and we had to pay the full ticket .,The first problem we had was that the discounts announced in the advertisement were not available and we had to pay the full price .
I think that all these problems could have been avoided and that asking my money back is the best way of forgetting that evening .,I think that all these problems could have been avoided and that asking for my money back is the best way of forgetting that evening .
Yours sincerelly,Yours sincerely
Fashion news are followed by lots of people .,Fashion news is followed by lots of people .
People have always looked for the most comfortable clothes for they daily life .,People have always looked for the most comfortable clothes for their daily lives .
I think that this tendence will not change but what will change is life .,I think that this tendency will not change but what will change is life .
We tend to a society that wants more free time so people will need more comfortable clothes to enjoy it .,We tend to be a society that wants more free time so people will need more comfortable clothes to enjoy it .
Scientists are looking for new materials that will made our clothes more comfortable stronger .,Scientists are looking for new materials that will make our clothes more comfortable and stronger .
Clothes will have a strong relation to the new technologies and modern devices will be included in our daily clothes .,"Clothes will have a strong relation to the new technologies , and modern devices will be included in our everyday clothes ."
Fashion reflects the way we live so we can expect that fashion will be connected with technology and society .,Fashion reflects the way we live so we can expect that fashion will be connected to technology and society .
"Dear Mrs Jane Clark ,","Dear Mrs Clark ,"
"With regard to your International Arts Festival advertisment , I would like to share with you the pleasure I had to be part of the event and some suggestions for next year 's festival that you might take in consideration .","With regard to your International Arts Festival advertisement , I would like to share with you the pleasure I had to be part of the event and make some suggestions for next year 's festival that you might take into consideration ."
The International Arts Festival is a beautiful idea .,The International Arts Festival is a wonderful idea .
I enjoyed most of the events and I found your prices excellent considering that I am a student and that I do not have much money .,"I enjoyed most of the events and I found your prices excellent , considering that I am a student and that I do not have much money ."
"In your advertisment you mentionned that there is artists and stars from all around the world coming , unfortunately I found out only six countries were represented .","In your advertisement you mentioned that there would be artists and stars coming from all around the world , unfortunately I found out only six countries were represented ."
I would like to suggest that more countries should be part of the Festival if it is possible .,I would like to suggest that more countries should be part of the festival if it is possible .
It is a very good opportunity to listen to different kind of music and to discover different culture .,It is a very good opportunity to listen to different kinds of music and to discover different cultures .
"Hoping that I did not offend you in any ways and that you might take in consideration my suggestion , I wish you all the best for next year 's festival organisation .","Hoping that I have not offended you in any way and that you might take into consideration my suggestions , I wish you all the best for next year 's festival organisation ."
Yours faithfully,Yours sincerely
"The night he came into this world , was one of grater even if for the habitants of the country or even of the town where he was born , it was a casual night .","The night he came into this world was one of grater for the inhabitants of the country and also of the town where he was born , it was an ordinary night ."
The sky was so clear that the moon and the stars were lighting up all the land .,The sky was so clear that the moon and the stars lit up all the land .
Only the one who knew how to read stars could actually tell that a great king was born .,Only the ones who knew how to read stars could actually tell that a great king had been born .
When the three men saw him they fell on their knees to worship him .,"When the three men saw him , they fell on their knees to worship him ."
The mother was pride because she knew he was sent from above and he was going to be the one to set people free from their sins .,The mother was proud because she knew he was sent from above and he was going to be the one to set people free from their sins .
His message is still as impacting today and will always be even if this story happened a long time ago .,"His message is still as impacting today and will always be , even if this story happened a long time ago ."
"To begin with , according to your advertisement , discount tickets were availabe .","To begin with , according to your advertisement , discount tickets are available ."
So I could get a good seat .,So I could not get a good seat .
"To make matters worse , it was the different actor although Danny Brook should have starred .","To make matters worse , although Danny Brook should have starred there was a different actor ."
"I was really looking forward to seeing his role , but on starting the show , I found it disappointed .","I was really looking forward to seeing his performance , but on starting the show , I found it disappointing ."
"Finally , I would like to ask you to give some money back to me .","Finally , I would like to ask you to give me some money back ."
I look forward to receiving your satisfactory reply by return of post .,I look forward to receiving a satisfactory reply by return of post .
"In my opinion , modern technology has changed my daily life greatly .","In my opinion , modern technology has changed my daily life significantly ."
"When I meet my friends somewhere but can not arrive there on time , I can tell them about it with the phone .","When I meet my friends somewhere but can not arrive there on time , I can tell them about it using the phone ."
"On the other hand , when I do not want anybody to disturb my time , the phone annoys me .","On the other hand , when I do not want anybody to disturb me , the phone annoys me ."
"With internet and E - mail , I can get lots of information from everywhere , and I can get in touch with my friends who live in abroad .","With the Internet and E - mail , I can get lots of information from everywhere , and I can get in touch with my friends who live abroad ."
"Since I bought a computer , I have been checking E - mails from my friend almost every day .","Since I bought a computer , I have been checking for E - mails from my friend almost every day ."
"On balance then , I think that modern technology really affects my life even though I feel that it improves too rapidly to catch up .","On balance then , I think that modern technology really affects my life even though I feel that it advances too rapidly for me to catch up ."
"Last week , I was on holiday in London , and reading the advertisement for your musical show , I had planned ( like it is said ) "" a perfect evening out "" .","Last week , I was on holiday in London , and having read the advertisement for your musical show , I had planned ( as it said ) "" a perfect evening out "" ."
"But it turned out , it really was n't a pleasant evening , and I did n't enjoy myself .","But as it turned out , it really was n't a pleasant evening , and I did n't enjoy myself ."
"On top of this , the advertisement was n't correct at all , or I must have been to the wrong show !","On top of this , the advertisement was n't right at all , or I must have been to the wrong show !"
That 's nearly an hour later !,That 's nearly an hour late !
"The tickets were rather expensive , and the discounts mentionned in the advertisement were n't at all available at the theatre .","The tickets were rather expensive , and the discounts mentioned in the advertisement were n't at all available at the theatre ."
"I was a little hungry after the show , but then again , I had to find another restaurant since the theatre restaurant was closed with no further information .","I was a little hungry after the show , but then again , I had to find another restaurant since the theatre restaurant was closed with no further information given ."
"Pat was my friend , I trusted her and we got on very well untill she had repeated to everyone the secret I had told her .","Pat was my friend , I trusted her and we got on very well until she repeated to everyone the secret I had told her ."
"There was only one thing I did n't like with her : she could do anything to have friends , even betray me .","There was only one thing I did n't like about her : she would do anything to have friends , even betray me ."
"He 's travelling around the world "" I would say , and everyone would admire him .","He 's travelling around the world , "" I would say , and everyone would admire him ."
"But know Pat knew , and because of her , so did everyone else : he was in prison because he had killed a man .","But I knew Pat knew , and because of her , so did everyone else : he was in prison because he had killed a man ."
"I knew , now , why I wanted to hide the truth .","I know , now , why I wanted to hide the truth ."
I 'm very happy to have won in your competition .,I 'm very happy to have won your competition .
I 'm never going in the U.S.A than I 'm very exciting to travel at Camp California .,I 've never been to the U.S.A so I 'm very excited to visit Camp California .
I can to come only July because I have to work the other months of Summer .,I can come only in July because I have to work the other months of summer .
As accomodation I 'd prefer to sleep in tents becaose I like beeing outside and earing the noises of the sea .,Regarding accommodation I 'd prefer to sleep in a tent because I like being outside and hearing the noises of the sea .
My two activities 's choices are Climbing and Surfing .,My two preferred activities are climbing and surfing .
"I used to climb and I want to try still because climbing is good for the fit . I want to do surfing too because I like snowboarding and I think surfing make similar sensations , but I have never practised that sport .","I used to climb and I want to try it again because climbing is a good way to keep fit . I want to do surfing too because I like snowboarding and I think surfing make similar sensations , but I have never tried it ."
I have one question to ask you . I have a little brother and I want to know if I could take it with me .,I have one question to ask you . I have a little brother and I want to know if I could take him with me .
He does n't like stay alone at home .,He does n't like to stay at home alone .
I purpose that we should be filmed five topics :,I propose that we should film five subjects :
"A math lesson , an english lesson , a swimingpool lesson , the break and the staff room .","a maths lesson , an English lesson , a swimming lesson , the break and the staff room ."
- At the math lesson and the English lesson we could show how the teacher learn at his students .,- In the maths lesson and the English lesson we could show how the teacher teaches his students .
We could be filmed the class room too .,We could film the classroom too .
"- In the swimingpool we could been in the water and doing a party of water - polo and then Allan could done acrobatics stands , because he make competitions .","- In the swimming pool we could be in the water and doing a party of water - polo and then Allan could done acrobatics stands , because he enters competitions ."
- During the break we could show the activities of the students . for exemple students who play football or volleyball .,"- We could show the activities of the students during the break . For example , students who play football or volleyball ."
We could asked some students about the school .,We could ask some students about the school .
We could known how this room is and what the Teachers do in this misterious room .,We could find out what this room is like and what the teachers do in this mysterious room .
In the end we could show a comment of each student of our class .,At the end we could have a comment from each student in our class .
I am really pleased that I have won first prize in your competition at Camp California in U.S.A.,I am really pleased that I have won first prize in your competition at Camp California in the U.S.A.
I think it is more interesting than log cabins .,I think it is more interesting than a log cabin .
I can be more next nuture and I have never used tents before .,I can be closer to nature and I have never used tents before .
"When I was a child , I used to go swimming with my family at the weekend having a chat , making a barbecue , playing games .","When I was a child , I used to go swimming with my family at the weekend , having a chat , making a barbecue , playing games ."
My parents were very pround of me .,My parents were very proud of me .
Could I ask you some questions ? I would like to know which kind of clothes I should bring to the camp .,Could I ask you some questions ? I would like to know what kind of clothes I should bring to the camp .
How much money should I bring there and can I use my credit card at the camp ?,How much money should I bring and can I use my credit card at the camp ?
I 'm sorry that I 've taken such a long time to reply your letter because I 'm really busy and I have to study harder .,I 'm sorry that I 've taken such a long time to reply to your letter because I 'm really busy and I have to study harder .
"Last month , I worked as a part - time job .","Last month , I got a part - time job ."
Before the concert I was really exciting . I could n't sleep well and I did n't know what I had to do in the concert .,Before the concert I was really excited . I could n't sleep well and I did n't know what I had to do at the concert .
There were lots of singers and band .,There were lots of singers and a band .
I was really exciting .,I was really excited .
My hands were sclumbling but I did it very well .,My hands were trembling but I did it very well .
"After that , I went to the back stage .","After that , I went back stage ."
I 'm sorry that I did n't ask them to take any pictures for you .,I 'm sorry that I did n't ask if I could take any pictures of them for you .
I had to take care of them and did everything they want .,I had to take care of them and did everything they wanted .
"For instance , taking them to toilet , making coffee for them , helping them find their stuff .","For instance , taking them to the toilet , making coffee for them , helping them find their stuff ."
I learnt lots of thing from here that I could n't learn from school .,I learnt lots of thing there that I could n't learn from school .
I knew lots of people from different job .,I met lots of people with different jobs .
It was a great time .,I had a great time .
"I 'd like to say something that I felt during the festival , and give my opinions that would be helpul for you to prepare for the next festival to you .","I 'd like to say something that I felt during the festival , and give my opinions that would be helpful for you to prepare for the next festival ."
"First of all , I appreicate you for organizing such an exciting festival .","First of all , I congratulate you for organizing such an exciting festival ."
"It was a great idea , and I enjoyed myself to this festival so much .","It was a great idea , and I enjoyed myself at this festival very much ."
"By the way , according to the advertisement , lots of stars and artists from around the world were supposed to be invited for the festival , but I was able to meet them just from only six countries .","By the way , according to the advertisement , lots of stars and artists from around the world were supposed to be invited for the festival , but I was able to meet them from only six countries ."
"And another thing is that some concert halls were too small , so when I went there for Jazz and rock concerts it was so crowded , and during the concerts people felt stuffy .","And another thing is that some concert halls were too small , so when I went there for Jazz and rock concerts it was so crowded , and during the concerts people felt suffocated ."
I hope you 'll get much bigger concerts hall next year .,I hope you 'll get much bigger concert halls next year .
"On the other hand , plays and films were excellent .","On the other hand , the plays and films were excellent ."
I expect that much more various kinds of plays and films will be on next year .,I expect that much more varied kinds of plays and films will be on next year .
"Finally , I 'd like to mention reasonably - priced weekend ticket .","Finally , I 'd like to mention the reasonably - priced weekend ticket ."
"It was brillient , because if I had to pay all things each I would n't have attended it , because it was very expensive for me .","It was brillient , because if I had to pay for all things individually I would n't have attended it , because it was very expensive for me ."
Thank you very much about that .,Thank you very much for that .
"Long time ago , there were two brothers , whose parents were dead .","A long time ago , there were two brothers , whose parents were dead ."
"By the way , the elder brother , Nolbu was a so greedy man .","By the way , the elder brother , Nolbu was a very greedy man ."
"He did n't want to share the money with his brother , Hungbu so he took all of the money , and said to Hungbu to go away from the house without anything .","He did n't want to share the money with his brother , Hungbu , so he took all of the money , and said to Hungbu to go away from the house without anything ."
Hungbu had nothing but his twelve family .,Hungbu had nothing but his family of twelve .
"But , even if he was so poor , he was so good and had a lot of affection about the people who were much poorer than his family , so he looked after them .","But , even if he was very poor , he was very good and had a lot of affection for the people who were much poorer than his family , so he looked after them ."
"One cold day , Hungbu saw a bird that had a broken wing , so the bird could n't fly to the warmer county during the winter .","One cold day , Hungbu saw a bird that had a broken wing , so the bird could n't fly to the warmer country during the winter ."
"He cured the bird to fly with love , and the bird was able to fly .","He cured the bird with love , and the bird was able to fly ."
"The following year , when the bird returned his house , he gave him a message .","The following year , when the bird returned to his house , he gave him a message ."
It was a kind of map that showed the place for a lot of money which robbers hid .,It was a kind of map that showed the location of a lot of money which robbers hid .
People belive that the bird was sent by heaven .,People believe that the bird was sent from heaven .
"So in order to keep myself occupied for a while , I went to the restaurant except it was n't open .","So in order to keep myself occupied for a while , I went to the restaurant but it was n't open ."
The show it self was quite disappointing .,The show itself was quite disappointing .
"Anyway , after watching the musical , I felt a bit peckish so I went to the restaurant again with hope that it might be open , but still , nobody was in .","Anyway , after watching the musical , I felt a bit peckish so I went to the restaurant again with the hope that it might be open , but still , nobody was in ."
He said it was because the runner of the restaurant had gone out to arrange the food supply for the next day .,He said it was because the manager of the restaurant had gone out to arrange the food supply for the next day .
So I am going to ask for a refund ... I hope this is n't affending you too much ...,So I am going to ask for a refund ... I hope this is n't offending you too much ...
"When it comes down to color , I think it 'll be much brighter and maybe glittery .","When it comes down to colour , I think it 'll be much brighter and maybe glittery ."
Colors to match the clothes .,Colours to match the clothes .
"I think I 'll be fine in the clothes we have now ... I mean , I wo n't get sick in them !","I think I 'll be fine in the clothes we have now ... I mean , I wo n't get sick of them !"
"First of all I would like to thank you for the perfect organisation of the competition which I luckely won , I have been really very impressed .","First of all , I would like to thank you for doing such a good job organising the competition which I luckily won . I have been really very impressed ."
Unfortunately I became your letter with two weeks late so I can travel only between the 5th and the 20th July .,Unfortunately I received your letter two weeks late so I can travel only between the 5th and the 20th July .
In fact I will finish my university 's exams only on the first July and after the 20th is impossible because I am going to do four weeks volontary in India for UNICEF .,In fact I will finish my university exams only on the first of July and after the 20th it is impossible because I am going to do four weeks ' voluntary work in India for UNICEF .
"If it is possible I would prefer to stay in a log cabins , because , in spite of my love for nature , I am terribly allergic to pollins .","If it is possible I would prefer to stay in a log cabin , because , in spite of my love for nature , I am terribly allergic to pollen ."
So stay in a log cabins will probably evite me a lot of problems .,So a stay in a log cabin will probably save me a lot of problems .
"Choose two activities from the list has been very difficult but I think I would like to do climbing , sport in which I have many years of experience , and surfing despite I really have any experience .","Choosing two activities from the list has been very difficult but I think I would like to do climbing , a sport in which I have many years of experience , and surfing , despite not really having any experience ."
Unfortunately I had ever been in the US so I have any idea about how much money I will probably need and about what kind of clothes I have to take with me .,Unfortunately I have never been to the US so I do n't have any idea about how much money I will probably need or about what kind of clothes I have to take with me .
Thank you very much for your attencion on my regard,Thank you very much for your attention on my behalf
Your sincerely,Yours sincerely
"If you ask at twenty womans what is their favorite hobbies probably the most of them will answer "" shopping "" .","If you ask twenty women what their favourite hobbies are probably most of them will answer "" shopping "" ."
"Why so many people have been contaged by this "" psychologic virus "" ?","Why have so many people been infected by this "" psychological virus "" ?"
"We are always trying to have more things , that in spite of care after us family , us future , or other things which are probably more important than a new perfum .","We are always trying to have more things , which lead us to neglect our family , our future , and other things which are probably more important than a new perfume ."
"Always more people , everywhere , are becoming shopping - addicts .","More and more people , everywhere , are becoming shopping addicts ."
Maybe you can think I am excessive but recent studies prouves that this mania can be really dangerous .,Maybe you think I am exaggerating but recent studies prove that this mania can be really dangerous .
Certenly the only fact of have something can helps people to be more sure of himself .,Certainly only the fact of having something can help people to be more sure of themselves .
"In fact if you have the new Kalvin Klein model for a certain kind of people you are cool , but it is really so important ?","In fact if you have the new Kalvin Klein product to a certain kind of person you are cool , but is it really so important ?"
"Probably when Oscar Wilde said : "" Superficiality is the suprem vice "" he was right .","Probably when Oscar Wilde said : "" Superficiality is the supreme vice "" he was right ."
Dear Mr. Smith ;,"Dear Mr. Smith ,"
I am writing this letter to make you know the bad points of the theatre .,I am writing this letter to let you know about the bad points of the theatre .
It was wrote in the newspaper that Danny Brock took place in the play .,It was written in the newspaper that Danny Brock performed in the play .
"If there had been a problem , it would have been told us .","If there had been a problem , we should have been told ."
I wanted to see him but I could n't see .,I wanted to see him but I could n't see him .
But in the newspaper it was wrote to be a discount . I paid £ 20 to the cashier .,But in the newspaper there was said to be a discount . I paid £ 20 to the cashier .
I hope you would not continue like this .,I hope you will not continue like this .
"But if they were n't made , we would have to walk or go by a horse or donkey .","But if they were n't made , we would have to walk or go by horse or donkey ."
"With the help of technology , we do our works in less time .","With the help of technology , we do our work in less time ."
For example ; in the past people used horses to go another place .,"For example , in the past , people used horses to go to another place ."
But now we use planes to go far places .,But now we use planes to go to far away places .
"And computers , the most important product of technology .",And computers are the most important product of technology .
"In the world , people spend the whole day by playing computers .","In the world , people spend the whole day playing with computers ."
They use computers for their works .,They use computers for their work .
They connect with other businessmen and do their jobs with the help of computers .,They communicate with other businessmen and do their jobs with the help of computers .
They write their secret notes into the computers .,They write their secret notes on computers .
But in the past people had to use lots of note books and they also had to find places to hide them .,But in the past people had to use lots of notebooks and they also had to find places to hide them .
But it has also bad points .,But it also has bad points .
For example ; wars .,"For example , wars ."
Using technology scientists make lots of powerful guns .,"Using technology , scientists make lots of powerful guns ."
It is bad for the world 's piece .,It is bad for world peace .
I think we should use the technology for the piece and use it for our fortune .,I think we should use technology for peace and use it for our benefit .
I am writing to express my dissatisfaction about the show you presented two weeks ago at your theatre .,I am writing to express my dissatisfaction with the show you put on two weeks ago at your theatre .
"As I was spending a week - end in London I took a chance too see the performance of one of my favourite actors , Danny Brook .","As I was spending a weekend in London . I took the opportunity to see the performance of one of my favourite actors , Danny Brook ."
Unfortunately as soon as I came to the theatre I was told that there had been a change in the cast and Danny Brook was not part of it anymore .,Unfortunately as soon as I got to the theatre I was told that there had been a change in the cast and Danny Brook was not part of it anymore .
